iter	RMSE
0	192601.5205
1	187611.9053
2	182551.5883
3	177834.7918
4	173193.9402
5	168848.791
6	164343.0202
7	160181.3813
8	156112.6158
9	152231.3929
10	148296.2903
11	144581.7923
12	140860.0331
13	137449.0292
14	134000.4248
15	130785.3585
16	127520.9394
17	124305.809
18	121492.9537
19	118761.8701
20	116043.761
21	113177.3076
22	110407.3872
23	107759.0552
24	105233.8192
25	102835.6767
26	100298.9707
27	98036.00977
28	95861.74136
29	93758.45288
30	91671.10063
31	89576.05833
32	87657.02975
33	85827.66693
34	83839.97207
35	82186.93296
36	80485.59942
37	78871.68558
38	77294.15058
39	75749.88419
40	74297.94412
41	72802.56001
42	71428.69562
43	70071.92571
44	68712.23933
45	67391.90661
46	66125.80998
47	64866.61391
48	63726.71709
49	62580.75658
50	61538.84146
51	60416.08097
52	59392.62583
53	58313.26181
54	57377.41101
55	56330.99826
56	55435.36913
57	54571.06893
58	53654.86278
59	52744.29747
60	51897.66183
61	51222.0652
62	50459.31809
63	49643.27115
64	48959.83383
65	48362.20353
66	47753.20398
67	47081.57812
68	46542.38436
69	45939.78919
70	45414.39885
71	44804.39663
72	44211.75217
73	43658.74585
74	43075.19289
75	42650.75985
76	42249.28634
77	41784.96335
78	41313.86439
79	40810.84437
80	40374.39929
81	39972.96749
82	39614.4958
83	39179.24698
84	38773.19908
85	38404.94051
86	38076.53104
87	37744.03449
88	37407.41627
89	37078.22999
90	36726.62903
91	36383.50089
92	36056.56736
93	35781.98585
94	35486.12163
95	35159.0578
96	34964.5753
97	34776.8541
98	34534.10127
99	34271.9575
100	34028.3394
101	33758.44173
102	33485.86233
103	33253.26181
104	33029.66584
105	32833.4413
106	32616.01776
107	32403.71551
108	32140.6805
109	31950.34409
110	31768.12965
111	31575.87725
112	31435.26879
113	31284.91838
114	31141.39614
115	31025.49787
116	30891.25815
117	30706.4567
118	30565.78033
119	30415.36954
120	30236.26923
121	30088.20557
122	29918.84257
123	29839.16181
124	29687.72438
125	29510.86173
126	29409.07949
127	29298.11774
128	29179.57502
129	29078.15565
130	28961.88345
131	28827.23956
132	28759.75318
133	28648.47803
